image,model,psnr,ssim,mae,mse,rmse,lpips
00702.png,RetinexTapetum,6.500289028594253,0.1963335453312923,115.72632598876953,14556.3154296875,120.64955627638048,0.5740423798561096
00703.png,RetinexTapetum,6.495185327007836,0.19558997417749077,115.7920913696289,14573.431640625,120.72046902089554,0.5712407827377319
00704.png,RetinexTapetum,6.475544645084793,0.19310266302879187,116.03567504882812,14639.48828125,120.99375306704889,0.5762234330177307
00705.png,RetinexTapetum,6.815056451481782,0.16078114421852566,112.36786651611328,13538.6298828125,116.35561818327682,0.6710839867591858
00706.png,RetinexTapetum,6.842543145924428,0.16833519021732946,111.88760375976562,13453.2138671875,115.98799018513728,0.6753783822059631
00707.png,RetinexTapetum,6.811367149720462,0.16072940132965027,112.39752960205078,13550.1357421875,116.40505032938863,0.6667395830154419
00708.png,RetinexTapetum,10.694931674761264,0.30635150672436473,69.24172973632812,5540.98779296875,74.43781158100197,0.49420416355133057
00709.png,RetinexTapetum,10.843975976213136,0.321938270589521,68.13590240478516,5354.05419921875,73.17140287857511,0.473499059677124
00710.png,RetinexTapetum,10.945251134632851,0.5347561950348485,70.38878631591797,5230.64501953125,72.3231983497083,0.32860249280929565
00711.png,RetinexTapetum,10.927832619164286,0.5338514447945942,70.52997589111328,5251.666015625,72.46837941906111,0.3280944526195526
00712.png,RetinexTapetum,9.670032937960876,0.6043177822071374,82.49242401123047,7015.7978515625,83.76035966710327,0.2741295099258423
00713.png,RetinexTapetum,9.728300174838456,0.6079204033948743,81.93555450439453,6922.298828125,83.20035353365392,0.27339377999305725
00714.png,RetinexTapetum,12.218018727671874,0.412126543189762,58.97622299194336,3901.921142578125,62.46535954093377,0.20238912105560303
